main,max_depth,num_tree,tp,fn,fp,tn,accuracy,precision,recall
100/10,100,100,28,72,6,94,0.61,0.8235294117647058,0.28
100/10,100,100,28,72,5,95,0.615,0.8484848484848485,0.28
200/1,100,200,44,56,11,89,0.665,0.8,0.44
236/1,2000,10,50,50,8,92,0.71,0.8620689655172413,0.5
6000/100,10,1000,3,97,0,100,0.515,1.0,0.03
236/100,10,1000,0,100,0,100,0.5,0,0.0
236/100,10,1000,0,100,0,100,0.5,0,0.0
236/100,10,1000,19,81,5,95,0.57,0.7916666666666666,0.19
236/100,3,100,7,93,0,100,0.535,1.0,0.07
236/20,3,100,7,93,0,100,0.535,1.0,0.07
